Category,Mountain,Alt,User Rating,Ascents,URL,Latitude,Longitude
Munros,Càrn a' Mhàim,1037.0,3.86,9016,https://www.walkhighlands.co.uk/munros/carn-a-mhaim,57.0369636,-3.6584488
Munros,Sgùrr a' Bhealaich Dheirg,1036.0,4.0,6566,https://www.walkhighlands.co.uk/munros/sgurr-a-bhealaich-dheirg,57.1778853,-5.2522865
Munros,Gleouraich,1035.0,4.18,6123,https://www.walkhighlands.co.uk/munros/gleouraich,57.0972414,-5.2379892
Munros,Càrn Dearg (Loch Pattack),1034.0,3.06,4699,https://www.walkhighlands.co.uk/munros/carn-dearg-loch-pattack,56.8553225,-4.4547833
Munros,Beinn Fhada,1032.0,3.95,4920,https://www.walkhighlands.co.uk/munros/beinn-fhada,56.442,-5.9926
Munros,Am Bodach,1032.0,3.92,10758,https://www.walkhighlands.co.uk/munros/am-bodach,56.741768,-4.9835518
Munros,Càrn Gorm,1029.0,3.03,14917,https://www.walkhighlands.co.uk/munros/carn-gorm,57.3794,-4.782
Munros,Càrn an Rìgh,1029.0,2.81,7494,https://www.walkhighlands.co.uk/munros/carn-an-righ,56.8766594,-3.5953792
Munros,Ben Oss,1029.0,3.43,10911,https://www.walkhighlands.co.uk/munros/ben-oss,56.3893617,-4.7756457
Munros,Sgùrr na Ciste Duibhe,1027.0,4.05,6971,https://www.walkhighlands.co.uk/munros/sgurr-na-ciste-duibhe,57.1809962,-5.3373182
Munros,Sgùrr a' Mhaoraich,1027.0,4.05,4602,https://www.walkhighlands.co.uk/munros/sgurr-a-mhaoraich,57.1058771,-5.3306601
Munros,Ben Challum,1025.0,3.13,11117,https://www.walkhighlands.co.uk/munros/ben-challum,56.4542909,-4.6198593
Munros,Sgòrr Dhearg (Beinn a' Bheithir),1024.0,4.42,10661,https://www.walkhighlands.co.uk/munros/sgorr-dhearg-beinn-a-bheithir,56.65397,-5.1716628
Munros,Mullach an Rathain (Liathach),1023.0,4.54,7276,https://www.walkhighlands.co.uk/munros/mullach-an-rathain-liathach,57.5610276,-5.4925144
Munros,Stob Dearg (Buachaille Etive Mòr),1021.0,4.55,16033,https://www.walkhighlands.co.uk/munros/stob-dearg-buachaille-etive-mor,56.6462799,-4.9004077
Munros,Aonach Air Chrith,1021.0,3.87,8919,https://www.walkhighlands.co.uk/munros/aonach-air-chrith,57.1245648,-5.2214387
Munros,Ladhar Bheinn,1020.0,4.43,4577,https://www.walkhighlands.co.uk/munros/ladhar-bheinn,57.0753,-5.5919
Munros,Mullach Clach a' Bhlàir,1019.0,2.74,8631,https://www.walkhighlands.co.uk/munros/mullach-clach-a-bhlair,57.0120164,-3.841279
Munros,Càrn an Tuirc,1019.0,2.78,16695,https://www.walkhighlands.co.uk/munros/carn-an-tuirc,56.90825,-3.3576448
Munros,Beinn Bheoil,1019.0,3.15,4814,https://www.walkhighlands.co.uk/munros/beinn-bheoil,56.8133585,-4.4307055
Munros,Mullach Coire Mhic Fhearchair,1018.0,3.84,3934,https://www.walkhighlands.co.uk/munros/mullach-coire-mhic-fhearchair,57.7090918,-5.2715117
Munros,Garbh Chioch Mhòr,1013.0,3.77,3764,https://www.walkhighlands.co.uk/munros/garbh-chioch-mhor,57.0086198,-5.4444924
Munros,Cairn Bannoch,1012.0,2.58,13470,https://www.walkhighlands.co.uk/munros/cairn-bannoch,56.9277974,-3.2783688
Munros,Beinn Ìme,1011.0,3.36,20109,https://www.walkhighlands.co.uk/munros/beinn-ime,56.2368179,-4.8171651
Munros,The Saddle,1010.0,4.46,6467,https://www.walkhighlands.co.uk/munros/the-saddle,57.1625134,-5.4147478
Munros,Sgùrr Èilde Mòr,1010.0,3.77,6537,https://www.walkhighlands.co.uk/munros/sgurr-eilde-mor,56.7501572,-4.8954665
Munros,Sgùrr an Doire Leathain,1010.0,3.71,8512,https://www.walkhighlands.co.uk/munros/sgurr-an-doire-leathain,57.1370897,-5.2815359
Munros,Ruadh-stac Mòr (Beinn Eighe),1010.0,4.5,8285,https://www.walkhighlands.co.uk/munros/ruadh-stac-mor-beinn-eighe,57.5939011,-5.4294147
Munros,Beinn Udlamain,1010.0,2.96,11660,https://www.walkhighlands.co.uk/munros/beinn-udlamain,56.8355671,-4.3299677
Munros,Beinn Dearg (Blair Atholl),1008.0,2.98,7285,https://www.walkhighlands.co.uk/munros/beinn-dearg-blair-atholl,56.8772524,-3.88386
Munros,Maoile Lunndaidh,1007.0,3.15,3136,https://www.walkhighlands.co.uk/munros/maoile-lunndaidh,57.4598,-5.1178
Munros,Càrn Liath (Creag Meagaidh),1006.0,2.77,9710,https://www.walkhighlands.co.uk/munros/carn-liath-creag-meagaidh,56.9788972,-4.515347
Munros,An Sgarsoch,1006.0,2.87,4976,https://www.walkhighlands.co.uk/munros/an-sgarsoch,56.9320181,-3.7544767
Munros,Beinn Fhionnlaidh (Càrn Eige),1005.0,3.36,3875,https://www.walkhighlands.co.uk/munros/beinn-fhionnlaidh-carn-eige,57.3060286,-5.129985
Munros,The Devil's Point,1004.0,3.88,8488,https://www.walkhighlands.co.uk/munros/the-devils-point,57.0358028,-3.6887945
Munros,Sgùrr an Lochain,1004.0,3.93,8437,https://www.walkhighlands.co.uk/munros/sgurr-an-lochain,57.1413713,-5.2974584
Munros,Beinn an Dòthaidh,1004.0,3.3,12972,https://www.walkhighlands.co.uk/munros/beinn-an-dothaidh,56.5302326,-4.7141588
Munros,Sgùrr Mòr (Loch Cuaich),1003.0,3.65,3026,https://www.walkhighlands.co.uk/munros/sgurr-mor-loch-cuaich,57.0284993,-5.3544644
Munros,Sgùrr na Càrnach,1002.0,3.76,6828,https://www.walkhighlands.co.uk/munros/sgurr-na-carnach,57.189047,-5.3493301
Munros,Sàil Chaorainn,1002.0,3.1,6338,https://www.walkhighlands.co.uk/munros/sail-chaorainn,57.1917479,-5.0913052
